Address,Name,Description,Access,Default
0x00,CHIP_ID,芯片ID,RO,0x2710
0x04,FW_VERSION,固件版本,RO,-
0x08,BT_ADDR,蓝牙地址,RO,-
0x0C,BATTERY_LEVEL,电池电量(0-100),RO,0x64
0x10,AUDIO_GAIN_L,左耳音频增益(0-100),RW,0x32
0x14,AUDIO_GAIN_R,右耳音频增益(0-100),RW,0x32
0x18,ANC_MODE,降噪模式(0=关/1=开/2=通透),RW,0x00
0x1C,ANC_GAIN,降噪增益(0-15),RW,0x08
0x20,POWER_CONSUMPTION,功耗采样值(uA),RO,-
0x24,TOUCH_SENSITIVITY,触控灵敏度(1-10),RW,0x05
0x28,CHARGE_STATUS,充电状态(0=未充/1=充电中/2=已满),RO,0x00
0x2C,TWS_PAIR_STATUS,左右耳配对状态(0=未配对/1=已配对),RO,0x00
0x30,LOW_LATENCY_MODE,低延迟模式(0=关/1=开),RW,0x00
0x34,GAME_MODE,游戏模式(0=关/1=开),RW,0x00
0x38,EQ_PROFILE,EQ预设(0-5),RW,0x00
0x3C,MIC_DENOISE,MIC降噪开关(0=关/1=开),RW,0x01
0x40,INEAR_DETECT,入耳检测(0=未佩戴/1=已佩戴),RO,0x00
